sensor,label,bag,frame_index,stamp_ns,image_width,image_height,pattern,method,variant,region,confidence,rotation_ok,intrinsic_plane,usable_for_intrinsics,usable_for_registration,score,bbox_x0,bbox_y0,bbox_x1,bbox_y1,preview_path
thermal_c,calib_p01_low_center,2026-06-23-08-26-48.bag,0,1782196009509450632,640,512,9x5,classic_fast_s0.5_inv,raw_detail_clahe,guided_tight,subpixel_partial_rescue,True,True,False,True,39.983726,157.729,308.021,374.825,417.206,rescue_previews/thermal_c/calib_p01_low_center_2026-06-23-08-26-48_00000_01.jpg
thermal_c,calib_p01_low_center,2026-06-23-08-26-48.bag,0,1782196009509450632,640,512,9x5,classic_fast_s0.5_inv,raw_detail_clahe_fine,guided_tight,subpixel_partial_rescue,True,True,False,True,39.982791,157.492,308.107,374.750,417.196,rescue_previews/thermal_c/calib_p01_low_center_2026-06-23-08-26-48_00000_02.jpg
thermal_c,calib_p01_low_center,2026-06-23-08-26-48.bag,0,1782196009509450632,640,512,9x5,classic_fast_s0.5_inv,raw_detail_clahe,guided,subpixel_partial_rescue,True,True,False,True,39.973898,159.658,307.848,376.019,417.254,rescue_previews/thermal_c/calib_p01_low_center_2026-06-23-08-26-48_00000_03.jpg
