name,n_used_final,rms_px,mean_view_error_px,median_view_error_px,max_view_error_px,fx,fy,cx,cy
free_5coeff,32,1.6956716669556398,1.3674405924975872,1.3618308901786804,2.170767307281494,2598.6321807530153,2587.814148673645,1223.7926084054432,642.0616126621373
fixed_pp_5coeff,32,1.7330356111014305,1.39568592607975,1.4067569971084595,2.2344870567321777,3660.9275951194254,3662.747202370403,1224.0,1024.0
fixed_pp_zero_tangent_5coeff,32,1.7427369994092234,1.4041985031217337,1.419439673423767,2.200571298599243,3780.3942071688007,3779.2240318218933,1224.0,1024.0
fixed_pp_zero_tangent_fix_aspect_5coeff,32,1.7430071878782107,1.405468376353383,1.4203233122825623,2.199894428253174,3797.0053984836054,3797.0053984836054,1224.0,1024.0
fixed_pp_zero_tangent_fix_k3,32,1.7456062605598934,1.4074995499104261,1.41878741979599,2.214735507965088,3783.5313812743116,3781.9156457444137,1224.0,1024.0
